"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","263687150.837989","278212290.502793","361452513.96648","365921787.709497","376536312.849162","401284916.201117","471117318.435754","488307262.569832","499675977.653631","516055865.921788","538932960.893855","551329608.938547","573402234.636872","604094972.067039","634184357.541899","649348044.692737","662325698.324022","684607821.22905","714513966.480447","692793296.089386","689044692.73743","700782122.905028","711927374.301676","755849162.011173","764005586.592179","708607057.880168","668842625.718402","695475453.053581","713751150.950196","",
"Africa Eastern and Southern","AFE","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","1444458624.95961","1595460325.13113","1835256191.73513","1964437957.12421","2290696180.5245","2563314230.02417","2824202856.23854","3075587151.48245","3418646907.58999","3878511820.39378","4335919044.55409","5066925516.65668","5248995516.07885","6450291798.3939","8095073113.03755","9515057325.79574","9869169570.86037","10953696862.1006","13257535972.3074","16277618041.1962","21860106554.9605","22962500202.7462","22515107970.8784","23375618659.9312","23231805262.1677","19357319612.8533","22658505185.3275","29488460478.343","30646842241.6133","31106263663.2068","37303001269.3553","41251954397.5517","40983027396.1479","40242703713.5831","42440225951.2718","43905130812.6048","44874675787.4545","47047154036.721","44038385819.5726","43327960834.2034","44017325701.475","40726582300.782","40391721351.2362","56788238734.0766","70295424626.8414","77717686138.0009","84623912154.5833","97401015667.9623","106119688386.253","111200468301.576","132021019249.505","151193193139.807","153963532510.393","158643622007.047","156540162063.793","138652767115.991","127329238221.325","144253217063.076","150077337112.267","147241290440.444","141239297982.882","159075293499.765","171919964550.211","173448430134.302","",
"Afghanistan","AFG","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4412100128.92726","3032015044.44951","3166994239.24094","3651720074.91112","",
"Africa Western and Central","AFW","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2924222253.29643","3892834735.23235","3370785319.8421","5926079446.72057","8036151470.69846","10140400358.8083","14887432594.31","13990137954.404","14281396196.0148","20385821008.7321","22848012194.2488","28614294308.4091","24440928316.5025","14871125503.3385","7323673931.01118","9532425303.88835","8322096952.82059","6096413923.53928","4194383802.23117","5109891519.72441","8452481077.15932","4389558770.28862","",
"Albania","ALB","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","","","","","","","","","","","","","146947368.421053","159906759.90676","165617703.962704","171095571.095571","181118881.118881","182867121.212121","201624987.5","208000000","201124987.5","205750000","389249987.5","251527784.722222","139619502.215707","173511335.701164","275059004.738292","330850354.108795","302481316.624554","235969734.151329","276094734.056629","355118537.291818","337331814.899172","416760684.950578","492859483.01281","622787590.652833","805106330.34189","888246163.867772","936515671.626676","1118710228.94772","1336949990.25205","1338043119.82591","1330730183.98791","1414653368.29124","1336063344.64821","1408641841.56955","1514870022.75313","1265151722.70624","1336675997.34176","1497059888.47999","1825026901.25987","1975567388.19058","2083100534.0639","2314449029.49133","2289898998.03937","2836603904.81395","",
"Andorra","AND","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","6463713655.11107","7279225171.51372","8022515649.20711","9280286917.98678","11136221071.741","13878017263.758","19196055729.1867","27237472523.4551","35658525794.1839","40788420282.4341","52274016572.1721","63883669677.8234","75101840974.3295","92966960854.9314","104474377049.842","107477071712.858","104481591960.9","101830103439.583","105000585344.908","107673384875.091","103859504780.773","107869027511.284","114263045905.348","106521877359.892","105900936808.24","96112172437.4075","94590550344.0363","94872431693.497","102238194297.835","113408293451.75","115334975618.377","116895849138.475","129491469265.66","133064819396.177","133815862266.026","141327553583.931","164582818962.7","186607568946.763","212917945963.3","242868108614.487","282973294072.732","302766249156.567","335822153418.235","409541886178.248","444881296955.79","489235760605.04","536657294482.928","516463816711.422","478344986638.749","475782763899.144","518549989757.921","537959153849.672","529529519178.044","534966472428.366","580432249003.789","622653496401.057","",
"United Arab Emirates","ARE","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10242340340.3676","11142485827.0933","12124060313.1382","12929750524.1661","14219278420.6944","15365627120.4901","17365487787.6106","23019664125.2553","25948399046.9707","29068775894.4961","34902893984.2758","36449312457.454","42851083193.2735","44070401009.9668","44511095983.6624","44725287984.0686","50945949625.5956","53423804740.9969","54704528493.8113","53048481916.3837","60661331329.3016","63583125924.0643","63850894557.2338","",
"Argentina","ARG","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","2981109322.95567","1873293741.48124","1851010086.55162","2292941109.49128","3093333419.90704","2362424326.82205","2598571394.01054","2969714408.66378","3077105358.84717","3377999916.89886","3248124955.47887","6063222189.12736","9527777909.5819","6601594539.00068","4820215361.52499","5119039948.11081","9943361369.27948","7623189691.88905","","","","","","","","5129883201.88656","5484082118.41714","3444043437.70259","4432010497.91073","6302044992.13424","6807403683.6718","31984701701.7017","33948366600","34445834100","34023284500","35324694300","37352911200","38908460700","39175188600","38037449000","11956773588.4449","14593470488.4092","18301129726.4273","24130382300.7642","28905507926.1954","37348269040.9027","49293062930.4651","52956236298.6285","64237667185.0303","83176277231.4325","90881156804.3051","92774657769.3512","89210530677.4557","107639984288.54","98429979465.6182","113902234012.834","82948293880.9877","73625384340.8139","65086024470.632","77440654017.6305","100206466191.484","105875385788.852","",
