GDP, current prices (Billions of U.S. dollars);2024;2025;2026;2027;2028;2029;2030
Afghanistan;no data;no data;no data;no data;no data;no data;no data
Albania;27,259;28,372;29,743;31,382;33,354;35,462;37,683
Algeria;264,913;268,885;269,435;274,52;279,983;285,271;290,941
Andorra;4,038;4,035;4,169;4,301;4,438;4,583;4,732
Angola;115,946;113,343;109,384;112,743;118,534;125,036;132,281
Antigua and Barbuda;2,225;2,373;2,493;2,606;2,723;2,846;2,974
Argentina;632,145;683,533;715,376;715,766;712,668;738,395;776,815
Armenia;25,533;26,258;26,681;27,893;29,523;31,388;33,319
Aruba;3,952;4,1;4,286;4,481;4,643;4,797;4,957
Australia;1796,805;1771,681;1841,002;1914,821;1995,441;2083,608;2181,788
Austria;521,269;534,301;551,918;572,442;591,248;609,827;628,259
Azerbaijan;74,316;78,87;81,872;85,792;90,327;95,373;100,895
Bahamas, The;14,761;15,178;15,636;16,153;16,703;17,28;17,887
Bahrain;46,943;47,829;49,628;52,05;54,672;57,428;60,365
Bangladesh;451,096;467,218;513,121;557,136;606,807;672,75;740,875
Barbados;7,167;7,552;7,942;8,341;8,755;9,19;9,645
Belarus;71,18;71,561;74,691;77,757;81,144;84,515;87,879
Belgium;664,965;684,864;706,834;725,385;746,66;768,493;791,414
Belize;3,427;3,611;3,755;3,893;4,029;4,165;4,302
Benin;21,249;22,236;24,067;26,048;28,152;30,451;32,917
Bhutan;3,092;3,422;3,802;4,157;4,563;5,071;5,543
Bolivia;48,404;56,339;65,851;no data;no data;no data;no data
Bosnia and Herzegovina;28,795;28,807;30,214;31,73;33,328;35,019;36,788
Botswana;19,356;19,4;20,951;22,347;24,148;26,371;28,591
Brazil;2171,337;2125,958;2186,983;2297,36;2414,121;2542,873;2679,565
Brunei Darussalam;15,463;16,007;16,656;17,532;18,434;19,636;20,663
Bulgaria;112,232;117,007;123,066;129,562;136,128;143,103;150,31
Burkina Faso;23,975;27,056;29,624;31,525;33,834;36,393;39,097
Burundi;4,743;6,745;8,419;9,244;9,738;9,917;10,622
Cabo Verde;2,726;2,786;2,979;3,19;3,41;3,647;3,89
Cambodia;47,328;49,799;53,055;56,857;61,248;66,025;71,242
Cameroon;52,784;56,011;60,213;64,485;69,281;74,447;80,028
Canada;2241,253;2225,341;2332,563;2435,529;2542,339;2657,894;2792,323
Central African Republic;2,831;2,932;3,187;3,547;3,764;4,01;4,279
Chad;19,078;18,792;19,732;20,675;21,769;22,898;24,12
Chile;330,21;343,823;357,69;373,212;389,242;405,801;422,793
China, People's Republic of;18748,009;19231,705;20375,858;21706,811;23102,978;24454,647;25827,523
Colombia;418,542;427,766;445,65;466,154;488,083;510,905;534,345
Comoros;1,456;1,548;1,653;1,754;1,857;1,966;2,087
Congo, Dem. Rep. of the;71,011;79,119;84,848;90,631;97,106;103,903;110,781
Congo, Republic of ;14,893;15,281;16,19;17,29;18,528;19,846;21,223
Costa Rica;95,365;102,591;108,6;115,153;122,141;129,377;137,04
Croatia;92,506;98,951;104,903;109,941;115,255;120,67;126,466
Cyprus;36,156;38,736;40,629;42,439;44,334;46,381;48,528
Czech Republic;344,931;360,244;376,684;390,799;406,038;422,083;438,859
C�te d'Ivoire;87,096;94,483;103,102;111,88;121,578;132,669;144,524
Denmark;429,458;449,94;473,665;493,376;512,752;533,284;554,224
Djibouti;4,257;4,587;4,959;5,335;5,745;6,126;6,596
Dominica;0,697;0,742;0,782;0,821;0,86;0,899;0,939
Dominican Republic;124,613;127,828;135,112;144,828;155,291;166,422;178,498
Ecuador;121,728;125,677;130,31;135,35;140,863;146,638;152,588
Egypt;383,109;347,342;389,04;432,812;480,602;532,288;586,889
El Salvador;35,337;36,749;38,476;40,354;42,364;44,312;46,436
Equatorial Guinea;12,544;12,684;12,894;12,998;13,293;13,821;14,575
Eritrea;no data;no data;no data;no data;no data;no data;no data
Estonia;42,752;45,004;47,816;50,261;52,643;54,99;57,366
Eswatini;5,199;5,483;5,859;6,215;6,522;6,836;7,051
Ethiopia;143,123;117,457;138,824;159,261;182,236;206,391;232,823
Fiji;5,949;6,257;6,564;6,913;7,284;7,674;8,089
Finland;298,833;303,945;315,822;326,344;337,007;348,457;361,008
France;3162,023;3211,292;3317,916;3418,285;3526,684;3637,929;3754,78
Gabon;20,774;20,391;20,921;21,723;22,609;23,502;24,467
Gambia, The;2,558;2,771;2,938;3,143;3,376;3,627;3,913
Georgia;33,775;35,353;36,763;38,664;40,705;42,896;45,246
Germany;4658,526;4744,804;4911,746;5083,216;5251,928;5416,003;5575,689
Ghana;82,825;88,332;92,3;96,762;101,673;110,71;118,609
Greece;257,067;267,348;279,637;288,684;298,64;308,815;319,516
Grenada;1,392;1,464;1,543;1,616;1,693;1,773;1,858
Guatemala;112,575;121,177;131,178;141,574;152,695;164,834;177,938
Guinea;25,758;30,094;35,239;41,12;47,404;55,374;63,028
Guinea-Bissau;2,184;2,274;2,452;2,645;2,84;3,051;3,277
Guyana;24,659;25,822;28,167;32,204;35,691;39,543;41,182
