Country,Year,IMF_GDP
Afghanistan,2024,
Albania,2024,27.259
Algeria,2024,264.913
Andorra,2024,4.038
Angola,2024,115.946
Antigua and Barbuda,2024,2.225
Argentina,2024,632.145
Armenia,2024,25.533
Aruba,2024,3.952
Australia,2024,1796.805
Austria,2024,521.269
Azerbaijan,2024,74.316
"Bahamas, The",2024,14.761
Bahrain,2024,46.943
Bangladesh,2024,451.096
Barbados,2024,7.167
Belarus,2024,71.18
Belgium,2024,664.965
Belize,2024,3.427
Benin,2024,21.249
Bhutan,2024,3.092
Bolivia,2024,48.404
Bosnia and Herzegovina,2024,28.795
Botswana,2024,19.356
Brazil,2024,2171.337
Brunei Darussalam,2024,15.463
Bulgaria,2024,112.232
Burkina Faso,2024,23.975
Burundi,2024,4.743
Cabo Verde,2024,2.726
Cambodia,2024,47.328
Cameroon,2024,52.784
Canada,2024,2241.253
Central African Republic,2024,2.831
Chad,2024,19.078
Chile,2024,330.21
"China, People's Republic of",2024,18748.009
Colombia,2024,418.542
Comoros,2024,1.456
"Congo, Dem. Rep. of the",2024,71.011
"Congo, Republic of ",2024,14.893
Costa Rica,2024,95.365
Croatia,2024,92.506
Cyprus,2024,36.156
Czech Republic,2024,344.931
C�te d'Ivoire,2024,87.096
Denmark,2024,429.458
Djibouti,2024,4.257
Dominica,2024,0.697
Dominican Republic,2024,124.613
Ecuador,2024,121.728
Egypt,2024,383.109
El Salvador,2024,35.337
Equatorial Guinea,2024,12.544
Eritrea,2024,
Estonia,2024,42.752
Eswatini,2024,5.199
Ethiopia,2024,143.123
Fiji,2024,5.949
Finland,2024,298.833
France,2024,3162.023
Gabon,2024,20.774
"Gambia, The",2024,2.558
Georgia,2024,33.775
Germany,2024,4658.526
Ghana,2024,82.825
Greece,2024,257.067
Grenada,2024,1.392
Guatemala,2024,112.575
Guinea,2024,25.758
Guinea-Bissau,2024,2.184
Guyana,2024,24.659
Haiti,2024,26.229
Honduras,2024,36.965
Hong Kong SAR,2024,407.107
Hungary,2024,223.06
Iceland,2024,33.463
India,2024,3909.097
Indonesia,2024,1396.3
Iran,2024,401.357
Iraq,2024,277.478
Ireland,2024,577.216
Israel,2024,540.381
Italy,2024,2372.059
Jamaica,2024,20.069
Japan,2024,4026.211
Jordan,2024,53.428
Kazakhstan,2024,284.81
Kenya,2024,120.899
Kiribati,2024,0.308
"Korea, Republic of",2024,1869.714
Kosovo,2024,11.151
Kuwait,2024,158.568
Kyrgyz Republic,2024,17.491
Lao P.D.R.,2024,15.879
Latvia,2024,43.508
Lebanon,2024,28.28
Lesotho,2024,2.309
Liberia,2024,4.818
Libya,2024,42.159
Lithuania,2024,84.847
Luxembourg,2024,93.169
Macao SAR,2024,50.182
Madagascar,2024,17.42
Malawi,2024,11.797
Malaysia,2024,419.617
Maldives,2024,7.019
Mali,2024,22.724
Malta,2024,24.315
Marshall Islands,2024,0.28
Mauritania,2024,10.697
Mauritius,2024,14.953
Mexico,2024,1852.723
"Micronesia, Fed. States of",2024,0.471
Moldova,2024,18.126
Mongolia,2024,23.586
Montenegro,2024,8.023
Morocco,2024,155.35
Mozambique,2024,21.944
Myanmar,2024,61.176
Namibia,2024,13.37
Nauru,2024,0.161
Nepal,2024,43.419
Netherlands,2024,1227.174
New Zealand,2024,257.728
Nicaragua,2024,19.71
Niger,2024,19.866
